DistanceToCenter,Total,Living,Kitchen,Repair,RoomsNumber,FurnitureExistence,FloorNumber,Year,NumberOfFloors,RoofType,BuildingType,OverlappingsType,MaterialWalls,PowerСlass,Chute,Playground,Sportsground,PowerSupply,ColdWaterSupply,HotWaterSupply,HeatSupply,GasSupply,WaterDisposal,FireSystem,Id,Adress,Region,City,District,Street,House,Latitude,Longitude,Cost
2857.73596,39,27,1,,1,False,14,,14,,,,,,False,False,False,,,,,,,False,119," Иваново,  Фрунзенский район, Воронина ул,5а",Ивановская область, Иваново, Фрунзенский, Воронина ,5а,56.971523,40.9709699,2050000
1354.229982,112,65,27,,3,False,3,,18,,,,,,False,False,False,,,,,,,False,120," Иваново,  Ленинский район, Профсоюзная ул,4а",Ивановская область, Иваново, Ленинский, Профсоюзная ,4а,57.0031029,40.9909373,4260000
1354.229982,51,22,11,,1,False,3,,18,,,,,,False,False,False,,,,,,,False,121," Иваново,  Ленинский район, Профсоюзная ул,4а",Ивановская область, Иваново, Ленинский, Профсоюзная ,4а,57.0031029,40.9909373,2200000
2857.73596,39,33,,,1,False,14,,14,,,,,,False,False,False,,,,,,,False,122," Иваново,  Фрунзенский район, Воронина ул,5а",Ивановская область, Иваново, Фрунзенский, Воронина ,5а,56.971523,40.9709699,2050000
5052.917435,48,21,8,,1,False,15,,17,,,,,,False,False,False,,,,,,,False,123," Иваново,  Октябрьский район, Дюковская ул",Ивановская область, Иваново, Октябрьский, Дюковская ул,,57.0349765,40.925136,1823000
5052.917435,48,21,8,,1,False,17,,17,,,,,,False,False,False,,,,,,,False,124," Иваново,  Октябрьский район, Дюковская ул",Ивановская область, Иваново, Октябрьский, Дюковская ул,,57.0349765,40.925136,1823000
5052.917435,49,19,14,,1,False,15,,17,,,,,,False,False,False,,,,,,,False,125," Иваново,  Октябрьский район, Дюковская ул",Ивановская область, Иваново, Октябрьский, Дюковская ул,,57.0349765,40.925136,1841000
5052.917435,49,19,14,,1,False,17,,17,,,,,,False,False,False,,,,,,,False,126," Иваново,  Октябрьский район, Дюковская ул",Ивановская область, Иваново, Октябрьский, Дюковская ул,,57.0349765,40.925136,1841000
4434.680985,42,28,6,,2,False,5,1967,5,2,,3,4,,False,True,False,,,,,,,False,127," Иваново,  Ленинский район, Маршала Василевского ул,9",Ивановская область, Иваново, Ленинский, Маршала Василевского ,9,56.959672,40.995984,1650000
4434.680985,42,30,6,,2,False,5,1967,5,2,,3,4,,False,True,False,,,,,,,False,128," Иваново,  Ленинский район, Маршала Василевского ул,9",Ивановская область, Иваново, Ленинский, Маршала Василевского ,9,56.959672,40.995984,1650000
5034.985582,76,39,14,,2,False,10,,14,,,,,,False,False,False,,,,,,,False,130," Иваново,  Октябрьский район, Дюковская ул,25",Ивановская область, Иваново, Октябрьский, Дюковская ,25,57.0344665,40.9242812,2849000
2857.73596,40,16,11,,1,False,14,,14,,,,,,False,False,False,,,,,,,False,131," Иваново,  Фрунзенский район, Воронина ул,5А",Ивановская область, Иваново, Фрунзенский, Воронина ,5А,56.971523,40.9709699,2050000
1354.229982,51,22,11,,1,False,3,,18,,,,,,False,False,False,,,,,,,False,132," Иваново,  Ленинский район, Профсоюзная ул,4а",Ивановская область, Иваново, Ленинский, Профсоюзная ,4а,57.0031029,40.9909373,2200000
2571.60001,68,39,26,,2,False,11,,15,,,,,,False,False,False,,,,,,,False,133," Иваново,  Фрунзенский район, Тейковский пер",Ивановская область, Иваново, Фрунзенский, Тейковский пер,,56.9908674,40.9306046,2550000
1919.374584,33,18,7,,1,False,2,1974,5,2,,3,5,,False,True,False,,,,,,,False,134," Иваново,  Фрунзенский район, Летчика Захарова ул,27",Ивановская область, Иваново, Фрунзенский, Летчика Захарова ,27,56.9799942,40.9692275,1750000
1750.964246,12,8,4,,1,False,3,,5,,,,,,False,False,False,,,,,,,False,135," Иваново,  Фрунзенский район, Ташкентская ул,65,корп.а",Ивановская область, Иваново, Фрунзенский, Ташкентская ,65,56.9815689,40.968115,1200000
3816.105406,33,18,8,,1,False,1,1981,5,2,,3,5,,False,True,False,,,,,,,False,136," Иваново,  Советский район, Чайковского 3-я ул,4",Ивановская область, Иваново, Советский, Чайковского 3-я ,4,57.014656,41.025598,1250000
4909.885542,37,18,9,,1,False,1,1995,10,2,,3,7,,False,True,False,,,,,,,False,137," Иваново,  Октябрьский район, Дюковская ул,21",Ивановская область, Иваново, Октябрьский, Дюковская ,21,57.0326919,40.9232668,1600000
9110.839961,29,16,6,,1,False,2,,5,,,,,,False,False,False,,,,,,,False,138," Иваново,  Советский район, ТЭЦ-3 мкр,26",Ивановская область, Иваново, Советский, ТЭЦ-3 мкр,26,56.9540024,41.0989979,1250000
3353.532135,40,30,5,,2,False,1,1959,2,1,,1,6,,False,True,False,,,,,,,False,139," Иваново,  Советский район, Победы ул,49",Ивановская область, Иваново, Советский, Победы ,49,57.019335,41.0089489,800000
2816.409372,44,30,6,,2,False,4,,5,,,,,,False,False,False,,,,,,,False,140," Иваново,  Октябрьский район, Ленина пр-кт,138",Ивановская область, Иваново, Октябрьский, Ленина пр-кт,138,57.02244,40.968027,2350000
