totalArea,floorNumber,floorsTotal,wallsMaterial,latitude,longitude,price
32,2,5,,57.0192,40.958978,1350000
50,3,3,,56.9886855,40.911721,1350000
32,4,5,,56.9563534,41.039642,1350000
64,2,2,5,56.987824,40.946257,1350000
42,1,3,5,56.9809222,40.9630228,1350000
30,1,9,,56.9746724,41.0074792,1350000
48,3,3,5,56.988908,41.027761,1350000
41,1,5,,56.9951857,40.9367539,1350000
31,1,5,,57.027862,40.9578421,1350000
33,3,5,,56.9570864,40.9969447,1350000
30,4,5,5,56.9679904,41.0129805,1350000
30,5,5,,57.022769,40.9632279,1350000
31,4,5,,56.972643,41.0521429,1350000
30,1,5,,56.9665028,41.0030363,1350000
32,5,5,,56.963738,41.001153,1350000
55,1,2,5,56.9967298,41.0055824,1350000
31,5,5,5,57.015549,41.025525,1350000
28,5,5,5,57.017158,40.9604854,1350000
31,1,5,,57.001657,40.95641,1350000
29,4,5,5,57.04592,40.9486042,1350000
